ensemblID	E003	E004	E005	E006	E007	E017	E021	E022	E050	E055	E056	E059	E089	E090	E094	E097	E098	E100	E109
ENSG00000121454	5	5	4	8	5	4	4	6	0	5	7	3	4	3	8	5	6	5	0
ENSG00000121653	15	9	16	21	15	17	16	17	10	13	15	13	15	17	16	13	19	8	10
ENSG00000121680	25	15	23	27	25	28	26	29	18	20	26	16	21	26	24	19	27	11	18
ENSG00000121774	20	12	31	34	20	27	15	24	20	25	21	22	32	33	18	17	24	13	15
ENSG00000121848	8	7	10	12	9	9	3	4	11	9	7	8	4	9	5	3	9	7	8
ENSG00000121900	7	5	24	16	11	15	7	0	0	20	21	26	13	19	20	11	19	18	17
ENSG00000121905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122512	5	5	10	10	4	14	1	5	14	10	12	7	11	15	7	9	9	13	9
ENSG00000122691	6	4	5	6	4	8	6	4	12	11	7	6	3	4	3	1	6	4	2
ENSG00000123064	5	2	5	10	3	8	1	11	3	10	11	5	7	7	3	4	4	5	2
ENSG00000123066	21	13	30	26	18	28	14	20	24	30	28	15	27	29	19	21	22	13	18
ENSG00000123080	8	7	11	17	7	12	5	13	18	13	12	11	13	14	14	21	18	13	15
ENSG00000123349	20	23	27	40	25	30	17	28	23	20	23	18	27	29	23	23	27	15	19
ENSG00000123500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000123989	22	8	20	33	18	21	21	31	0	24	20	20	25	27	12	20	21	12	8
ENSG00000124006	17	5	23	17	11	16	8	12	6	13	19	11	17	19	4	22	11	5	3
ENSG00000124089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124205	7	0	0	0	12	0	9	7	0	0	0	0	13	17	0	0	14	6	0
ENSG00000124257	12	9	14	24	10	12	8	15	0	13	11	13	14	15	16	11	16	8	14
ENSG00000124467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124802	15	9	12	11	8	11	14	12	11	9	7	7	9	7	4	9	5	3	6
ENSG00000124813	11	15	12	16	12	19	8	11	12	18	18	7	0	12	6	9	5	8	5
ENSG00000125378	15	19	21	21	17	37	9	11	11	35	32	7	11	26	3	16	9	3	12
ENSG00000125398	26	12	27	34	22	36	18	22	0	34	27	17	2	25	17	0	26	3	15
ENSG00000125498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125531	7	3	0	0	10	9	7	6	0	4	0	8	0	0	8	5	0	3	0
ENSG00000125551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125618	2	0	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125731	15	5	18	0	10	0	10	16	14	0	6	7	0	20	14	0	15	7	8
ENSG00000125788	0	0	1	2	0	1	0	1	2	1	1	1	1	1	1	1	1	3	1
ENSG00000125813	10	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0
ENSG00000125844	18	9	19	34	13	29	17	16	16	30	28	17	33	36	31	28	41	18	21
ENSG00000125861	0	0	1	2	0	1	0	1	2	1	1	1	1	1	1	1	1	3	1
ENSG00000125965	15	9	32	34	12	36	13	16	18	35	34	17	30	33	20	18	29	25	17
ENSG00000126246	14	5	34	30	15	21	13	21	11	15	3	18	14	36	25	18	32	10	17
ENSG00000126561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000126581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127152	15	12	10	2	6	1	12	12	0	0	1	8	11	14	0	1	8	1	2
ENSG00000127220	19	10	29	31	22	19	14	28	24	22	17	24	0	26	20	18	28	17	14
ENSG00000127399	0	0	0	0	0	0	9	16	0	11	8	13	5	17	14	7	15	8	7
ENSG00000127412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127578	0	0	0	0	13	0	16	0	0	0	0	20	0	0	0	0	0	0	0
ENSG00000127580	22	0	12	21	16	12	12	27	14	15	14	13	21	0	13	15	17	7	7
ENSG00000127585	21	0	0	0	9	0	14	26	0	12	11	9	0	0	0	3	0	7	0
ENSG00000127586	21	0	15	25	21	16	12	28	19	0	15	24	32	31	19	16	28	9	10
ENSG00000127588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127922	13	17	18	11	8	5	7	8	16	7	4	13	6	11	14	19	17	15	10
ENSG00000127990	9	9	8	9	11	13	2	1	8	18	13	14	11	22	7	14	8	13	9
ENSG00000128524	5	4	7	7	4	5	5	4	0	3	4	5	5	7	8	4	7	4	7
ENSG00000128573	13	12	6	7	7	16	7	3	0	17	10	6	2	11	4	6	3	6	6
ENSG00000128591	16	13	27	26	17	23	20	9	0	13	17	15	23	29	21	16	0	25	20
