gene	E003	E004	E005	E006	E007	E008	E017	E021	E022	E028	E029	E032	E033	E034	E046	E050	E051	E055	E056	E057	E059	E080	E081	E082	E083	E084	E085	E086	E088	E089	E090	E091	E092	E093	E094	E097	E098	E100	E109	E114	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128
ENSG00000163114	2	1	0	1	3	2	0	6	3	1	0	0	0	0	1	3	3	0	0	1	2	1	6	9	6	0	0	2	1	1	3	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	2	0	0	2
ENSG00000163116	2	1	2	2	2	1	2	3	3	2	2	5	4	3	3	4	6	4	3	1	2	1	3	3	4	1	1	5	3	3	5	1	2	4	1	4	4	1	2	3	1	1	1	3	4	6	2	2	2	2	3	2	2
ENSG00000163125	7	9	5	5	2	5	6	6	4	4	5	9	4	17	4	4	10	6	6	4	6	7	5	4	10	8	11	9	9	9	9	5	4	7	5	10	9	11	10	16	9	6	4	4	7	7	7	11	5	5	10	7	8
ENSG00000163126	10	10	9	6	9	6	6	14	11	3	9	9	9	17	8	11	14	20	22	5	15	15	8	9	15	16	10	15	17	14	11	21	17	9	5	22	12	39	8	18	10	6	25	3	8	12	5	8	6	6	7	2	5
ENSG00000163131	0	1	0	4	0	0	5	1	2	3	12	9	8	14	8	9	6	9	6	4	1	5	1	0	1	5	2	0	6	6	5	6	5	6	3	3	4	0	8	5	5	4	1	3	1	1	4	15	15	2	10	3	2
ENSG00000163138	4	4	1	4	3	2	4	6	4	2	2	3	2	5	3	3	3	6	4	3	3	4	4	7	2	3	2	6	10	5	4	3	5	4	4	5	4	3	1	2	1	1	1	3	3	4	3	5	2	3	6	4	2
ENSG00000163141	8	7	3	2	5	3	4	7	7	6	6	10	10	24	19	7	8	7	3	6	2	8	6	10	7	6	7	11	4	5	6	8	8	8	5	14	8	9	12	9	9	8	3	6	6	8	5	19	8	5	6	12	7
ENSG00000163145	2	8	6	13	0	1	10	2	6	4	8	6	3	3	4	7	5	25	26	7	8	7	12	10	12	2	1	18	22	15	11	9	8	13	0	12	3	8	3	1	1	0	0	3	13	12	5	0	7	6	17	3	8
ENSG00000163154	19	12	8	10	15	11	12	16	18	9	17	24	15	36	12	12	14	15	16	8	7	10	8	11	11	16	9	20	17	22	24	19	9	15	4	20	12	27	12	15	12	8	7	5	11	21	10	11	7	7	13	9	8
ENSG00000163155	12	9	8	10	12	7	12	10	13	9	17	24	16	36	12	11	13	13	15	8	7	8	6	7	8	16	9	14	11	17	19	18	8	15	4	13	12	24	12	13	12	8	7	5	8	13	8	7	7	7	12	9	8
ENSG00000163156	11	9	8	9	11	7	12	9	13	9	16	23	15	36	12	10	13	12	14	8	7	7	5	6	7	15	8	13	10	16	18	17	8	15	4	13	11	23	11	13	12	8	7	5	8	12	8	7	6	6	11	9	8
ENSG00000163157	9	9	8	9	9	5	12	8	10	10	12	16	16	29	9	11	13	14	16	11	5	11	5	5	7	10	8	11	9	15	16	17	8	11	6	11	9	27	16	18	14	12	6	7	11	13	5	11	6	7	14	12	8
ENSG00000163159	8	10	11	7	9	5	16	7	7	8	4	10	10	18	5	8	10	18	18	10	5	14	6	7	12	10	8	10	10	12	11	18	12	8	7	13	11	25	17	21	10	11	10	12	14	19	9	10	5	9	20	30	11
ENSG00000163161	3	5	3	4	2	2	4	2	3	3	6	7	4	9	5	3	3	5	4	2	2	5	1	4	2	3	3	4	3	4	3	2	3	2	1	3	2	8	2	5	10	3	1	1	3	7	2	3	8	3	9	2	3
ENSG00000163162	3	5	6	10	3	4	7	7	6	7	18	10	13	21	14	10	11	12	13	5	4	9	3	2	16	14	10	8	8	7	6	15	11	12	9	8	11	8	13	2	4	4	7	5	8	10	14	5	15	7	12	10	11
ENSG00000163166	2	8	7	9	10	2	9	4	7	7	5	6	4	10	6	6	7	12	13	6	7	11	7	6	9	20	18	14	10	9	11	10	5	2	3	12	10	17	21	11	5	7	8	7	13	13	7	8	2	9	15	9	10
